stamp,macaddress,event,date,itemname
1577528863.819,000D6F000F6F3BC7,48,2019-12-28,nyce-w-5045
1577521833.993,000D6F000F6F3BC7,48,2019-12-28,nyce-w-5045
1577514832.116,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577514803.022,000D6F000F6F3BC7,50,2019-12-27,nyce-w-5045
1577508305.133,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577508297.118,000D6F000F6F3BC7,50,2019-12-27,nyce-w-5045
1577506834.835,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577506820.808,000D6F000F6F3BC7,50,2019-12-27,nyce-w-5045
1577501860.531,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577494830.319,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577494825.307,000D6F000F6F3BC7,50,2019-12-27,nyce-w-5045
1577492899.506,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577492891.487,000D6F000F6F3BC7,50,2019-12-27,nyce-w-5045
1577490645.158,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577490442.492,000D6F000F6F3BC7,48,2019-12-27,nyce-w-5045
1577528827.005,000D6F000F73783B,48,2019-12-28,nyce-w-5345
1577521765.051,000D6F000F73783B,48,2019-12-28,nyce-w-5345
1577514743.837,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577514732.823,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577514717.673,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577514673.99,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577508814.294,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577508798.902,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577508792.154,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577508773.591,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577508773.084,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577508746.108,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577508743.935,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577508729.919,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577508595.227,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577508584.217,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577508350.199,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577508335.873,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577507562.592,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577507506.409,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577506884.381,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577506848.745,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577505484.566,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577505467.208,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577505464.445,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577505392.786,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577505372.143,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577505313.1,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577505294.239,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577505277.298,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577502245.786,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577495224.336,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577495189.135,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577494637.46,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577494626.451,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577493437.869,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577493429.866,000D6F000F73783B,50,2019-12-27,nyce-w-5345
1577490761.902,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577490583.919,000D6F000F73783B,48,2019-12-27,nyce-w-5345
1577490302.051,000D6F000F6F05FF,48,2019-12-27,nyce-w-5327
1577527393.205,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577527363.101,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577527324.635,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577527303.483,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526873.048,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526503.615,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526465.925,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526454.915,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526402.602,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526385.023,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526367.151,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526329.031,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526328.595,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526316.64,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526311.795,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526303.152,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526283.213,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526274.04,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526271.57,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526252.097,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577526206.911,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577526193.814,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577523637.995,000D6F000F7314D9,48,2019-12-28,nyce-w-5300
1577523628.924,000D6F000F7314D9,50,2019-12-28,nyce-w-5300
1577519629.996,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577519612.743,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577519611.655,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577519606.65,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
